ProductID,Category,Region,Season,Price,DiscountPercent,MarketingSpend,UnitsSold,Revenue,HighSales
53,Clothing,East,Regular,4613,5,1105,464,2033410.4,Yes
54,Electronics,West,Regular,444,0,10078,444,197136.0,Yes
55,Beauty,South,Regular,4992,5,26003,168,796723.2,No
56,Home,South,Off-Season,471,20,7090,305,114924.0,Yes
57,Beauty,East,Festival,3711,20,39850,411,1220176.8,Yes
58,Home,South,Regular,1971,30,2925,307,423567.89999999997,Yes
59,Beauty,South,Regular,1462,30,19440,291,297809.39999999997,Yes
60,Beauty,West,Festival,2624,20,40685,399,837580.8,Yes
61,Beauty,North,Regular,4561,20,27015,14,51083.200000000004,No
62,Home,East,Festival,1120,20,34320,199,178304.0,No
63,Home,East,Festival,3630,5,26291,122,420717.0,No
64,Beauty,West,Festival,4635,20,37679,274,1015992.0,Yes
65,Clothing,West,Festival,4684,10,27289,84,354110.4,No
66,Grocery,South,Festival,2824,0,4389,462,1304688.0,Yes
67,Grocery,East,Off-Season,3960,20,26683,97,307296.0,No
68,Grocery,North,Regular,2250,0,14629,270,607500.0,Yes
69,Home,West,Off-Season,3700,5,25826,336,1181040.0,Yes
70,Home,North,Regular,1365,0,36198,354,483210.0,Yes
71,Clothing,North,Off-Season,575,5,27630,365,199381.25,Yes
72,Grocery,East,Festival,2233,10,34226,261,524531.7000000001,Yes
73,Grocery,East,Regular,345,5,47163,137,44901.75,No
74,Beauty,West,Regular,4588,5,33975,280,1220408.0,Yes
75,Home,East,Off-Season,631,30,1899,268,118375.59999999999,Yes
76,Grocery,East,Off-Season,904,20,12653,175,126560.0,No
77,Clothing,East,Regular,2832,20,28961,464,1051238.4000000001,Yes
78,Clothing,North,Off-Season,4694,10,17405,5,21123.0,No
79,Grocery,West,Off-Season,1163,10,9601,317,331803.9,Yes
80,Home,South,Off-Season,2434,20,34662,68,132409.6,No
81,Clothing,North,Festival,2241,30,34282,378,592968.6,Yes
82,Beauty,East,Festival,2028,20,22288,472,765772.8,Yes
83,Clothing,North,Off-Season,2308,30,30545,288,465292.8,Yes
84,Electronics,East,Off-Season,4268,10,37877,125,480150.0,No
85,Electronics,East,Festival,1138,0,47026,111,126318.0,No
86,Home,North,Festival,1006,10,16313,425,384795.0,Yes
87,Grocery,West,Regular,1663,10,16349,179,267909.3,No
88,Home,East,Regular,3615,5,8179,489,1679348.25,Yes
89,Home,West,Festival,210,5,11326,208,41496.0,Yes
90,Home,South,Off-Season,2068,5,45555,169,332017.39999999997,No
91,Home,East,Off-Season,1084,5,2560,309,318208.2,Yes
92,Beauty,West,Off-Season,3764,30,14612,124,326715.19999999995,No
93,Beauty,West,Off-Season,1589,20,18650,48,61017.600000000006,No
94,Clothing,South,Regular,3601,0,27745,316,1137916.0,Yes
95,Electronics,West,Festival,4521,10,32890,160,651024.0,No
96,Home,West,Off-Season,1024,30,21022,371,265932.8,Yes
97,Clothing,South,Regular,2465,0,5780,211,520115.0,Yes
98,Electronics,East,Off-Season,1136,30,19311,394,313308.8,Yes
99,Grocery,West,Festival,3000,30,29380,112,235199.99999999997,No
100,Beauty,West,Regular,2753,10,45662,255,631813.5,Yes
101,Electronics,West,Festival,4045,20,3356,449,1452964.0,Yes
102,Grocery,North,Festival,1996,5,5790,408,773649.6,Yes
103,Electronics,South,Regular,253,20,27911,374,75697.6,Yes
104,Beauty,North,Regular,926,10,25363,338,281689.2,Yes
105,Beauty,South,Regular,2936,10,21049,134,354081.60000000003,No
106,Clothing,East,Regular,3370,10,11181,461,1398213.0,Yes
107,Home,East,Regular,2113,0,40825,297,627561.0,Yes
108,Electronics,West,Regular,1796,20,17082,24,34483.200000000004,No
109,Electronics,South,Regular,2114,20,1661,286,483683.2,Yes
110,Grocery,East,Off-Season,2666,30,38412,289,539331.7999999999,Yes
111,Beauty,South,Festival,2937,30,49479,5,10279.5,No
112,Electronics,East,Regular,1049,30,3920,123,90318.9,No
113,Beauty,North,Off-Season,2309,10,26658,39,81045.90000000001,No
114,Electronics,East,Off-Season,202,20,49770,202,32643.2,Yes
115,Clothing,North,Off-Season,4455,10,15025,489,1960645.5,Yes
116,Home,East,Festival,4269,0,9946,249,1062981.0,Yes
117,Electronics,West,Regular,1092,30,29706,63,48157.2,No
118,Beauty,North,Off-Season,2230,10,46500,329,660303.0,Yes
119,Clothing,East,Festival,3360,10,40004,165,498960.0,No
120,Electronics,West,Festival,2576,0,17309,183,471408.0,No
121,Grocery,North,Festival,4875,5,47286,210,972562.5,Yes
122,Home,West,Off-Season,2133,20,34120,16,27302.4,No
123,Electronics,South,Regular,1580,5,31027,494,741494.0,Yes
124,Clothing,South,Off-Season,3881,30,8005,280,760676.0,Yes
125,Grocery,North,Off-Season,1490,10,47804,185,248085.0,No
126,Clothing,East,Regular,1840,0,1956,246,452640.0,Yes
127,Clothing,North,Regular,2882,0,35839,220,634040.0,Yes
128,Grocery,West,Regular,1187,20,9595,255,242148.0,Yes
129,Clothing,East,Festival,1418,5,48908,303,408171.3,Yes
130,Grocery,South,Regular,1555,20,13803,130,161720.0,No
131,Electronics,East,Off-Season,4465,10,26963,486,1952991.0,Yes
132,Grocery,South,Regular,4816,20,37221,221,851468.8,Yes
133,Grocery,East,Off-Season,4335,0,40443,310,1343850.0,Yes
134,Home,East,Festival,1760,0,34723,289,508640.0,Yes
135,Grocery,East,Off-Season,1618,30,40063,189,214061.4,No
136,Grocery,West,Off-Season,1154,30,49689,43,34735.399999999994,No
137,Electronics,West,Regular,1183,10,16282,227,241686.9,Yes
138,Home,North,Regular,1174,5,5703,188,209676.4,No
139,Beauty,North,Off-Season,4333,20,7563,499,1729733.6,Yes
140,Electronics,South,Regular,4172,10,26849,431,1618318.8,Yes
141,Electronics,West,Festival,1113,30,32860,182,141796.19999999998,No
142,Beauty,South,Festival,4749,20,32585,411,1561471.2000000002,Yes
143,Grocery,North,Regular,236,30,23015,432,71366.4,Yes
144,Clothing,South,Festival,3587,20,13003,298,855140.8,Yes
145,Home,North,Regular,1911,5,44585,344,624514.7999999999,Yes
146,Clothing,West,Off-Season,3220,10,27958,155,449190.0,No
147,Beauty,East,Off-Season,995,20,27017,388,308848.0,Yes
148,Electronics,West,Festival,4236,0,12171,130,550680.0,No
149,Electronics,South,Regular,4888,0,46350,305,1490840.0,Yes
150,Home,South,Regular,3311,20,13201,312,826425.6000000001,Yes
