ProductID,ProductCategory,WarehouseLocation,Supplier,LeadTime,DailyDemand,MonthlyDemand,CurrentStock,ReorderPoint,HoldingCost,ShortageCost,Sales
P1063,Grocery,Central,Supplier_A,9,41,1439,4431,480,3.32,9.99,29731
P1064,Furniture,Central,Supplier_A,17,8,5570,1838,157,4.59,31.93,69926
P1065,Grocery,North,Supplier_C,12,112,325,3188,1382,2.12,9.28,6997
P1066,Clothing,South,Supplier_C,25,130,4265,714,441,1.21,21.92,56506
P1067,Grocery,Central,Supplier_C,14,24,4512,4146,1253,7.94,29.75,79229
P1068,Grocery,Central,Supplier_A,15,192,4068,3854,826,3.02,22.49,50815
P1069,Clothing,East,Supplier_A,16,156,1408,4419,1295,2.19,12.37,43092
P1070,Pharmacy,South,Supplier_C,22,54,5542,4884,869,7.07,17.32,63539
P1071,Pharmacy,East,Supplier_D,22,181,3449,140,713,6.37,46.77,67077
P1072,Grocery,South,Supplier_D,28,183,1118,4565,1332,6.52,35.42,22817
P1073,Clothing,East,Supplier_B,20,100,5613,4882,453,2.67,27.32,38861
P1074,Clothing,Central,Supplier_C,1,109,4123,963,215,2.71,5.57,14428
P1075,Furniture,Central,Supplier_B,10,168,5957,372,1387,2.6,49.66,44934
P1076,Pharmacy,North,Supplier_D,8,121,4603,3635,761,2.15,35.22,11258
P1077,Electronics,East,Supplier_B,18,102,5655,2541,552,6.73,19.26,58775
P1078,Pharmacy,West,Supplier_C,28,70,2169,3610,386,8.56,44.57,82580
P1079,Pharmacy,North,Supplier_C,1,83,2993,1692,1426,7.38,16.63,95947
P1080,Furniture,East,Supplier_C,2,166,1091,105,1116,8.02,29.48,6469
P1081,Electronics,East,Supplier_A,1,168,4670,1681,410,4.35,33.62,29854
P1082,Furniture,North,Supplier_B,1,10,2233,4097,307,6.71,14.95,7256
P1083,Electronics,Central,Supplier_D,9,43,1564,4016,717,3.87,49.03,77256
P1084,Grocery,East,Supplier_D,13,174,328,2636,545,5.49,38.67,34937
P1085,Electronics,Central,Supplier_D,1,119,1214,2137,769,5.08,30.1,2651
P1086,Furniture,North,Supplier_A,13,190,1999,3416,732,2.18,13.13,51288
P1087,Pharmacy,Central,Supplier_A,20,129,5677,4445,154,4.18,7.42,85730
P1088,Electronics,South,Supplier_C,26,16,4812,3530,1011,9.66,19.4,26051
P1089,Electronics,West,Supplier_D,22,135,1718,1286,1135,2.86,38.89,28386
P1090,Clothing,East,Supplier_A,7,22,4381,3179,756,1.77,17.12,76054
P1091,Pharmacy,West,Supplier_C,2,44,1398,3654,1079,4.48,29.28,17184
P1092,Grocery,Central,Supplier_D,6,25,4073,2359,614,8.01,37.76,34787
P1093,Furniture,East,Supplier_B,7,147,5438,444,336,6.03,9.86,22621
P1094,Grocery,Central,Supplier_C,26,103,2674,35,1402,6.97,35.84,76564
P1095,Pharmacy,South,Supplier_A,14,30,3685,1475,447,2.3,9.13,78984
P1096,Electronics,North,Supplier_A,26,12,4249,3957,726,6.38,48.43,60792
P1097,Electronics,East,Supplier_C,18,104,3919,1798,1227,3.57,26.98,46253
P1098,Pharmacy,South,Supplier_C,15,91,502,1845,729,8.43,11.78,35051
P1099,Electronics,South,Supplier_A,2,46,4152,1408,1371,6.48,20.41,50811
P1100,Electronics,East,Supplier_B,10,176,4883,1708,463,2.39,23.6,31447
P1101,Electronics,Central,Supplier_D,23,18,1186,2938,420,1.11,39.12,84930
P1102,Furniture,South,Supplier_B,12,82,2063,1300,385,0.91,38.45,31254
P1103,Furniture,West,Supplier_C,17,6,4640,1243,248,4.03,32.54,85045
P1104,Clothing,South,Supplier_B,8,123,5109,3976,1207,3.03,9.77,58418
P1105,Grocery,Central,Supplier_A,11,41,3272,3097,505,6.64,11.82,15472
P1106,Pharmacy,Central,Supplier_C,29,73,5606,4616,1077,5.24,9.22,4471
P1107,Pharmacy,West,Supplier_D,3,170,5973,9,555,3.03,30.97,96804
P1108,Pharmacy,South,Supplier_A,27,45,3324,2425,899,1.92,44.47,9329
P1109,Clothing,Central,Supplier_A,6,66,1527,1660,1284,1.71,24.52,35865
P1110,Furniture,East,Supplier_D,9,64,5388,2631,1112,8.71,12.24,47850
P1111,Clothing,North,Supplier_D,6,129,2608,4815,883,2.81,30.11,55220
P1112,Pharmacy,North,Supplier_B,9,115,3873,1072,559,6.69,41.53,94808
P1113,Grocery,North,Supplier_C,7,18,3491,3225,837,8.2,38.38,7397
P1114,Electronics,South,Supplier_D,9,88,4233,4954,608,6.33,44.67,98909
P1115,Furniture,West,Supplier_D,18,134,5305,1316,580,8.67,17.51,36525
P1116,Furniture,Central,Supplier_C,12,74,903,4145,213,4.23,13.73,54072
P1117,Clothing,East,Supplier_D,8,149,774,3683,848,9.58,44.59,91106
P1118,Furniture,East,Supplier_D,8,127,5904,3273,460,1.76,34.59,84820
P1119,Pharmacy,South,Supplier_B,18,93,3432,145,440,1.47,18.99,85530
